images,Violations
img1.jpg,"Helmet Violation, Mobile Phone Violation"
img1.jpg,"Helmet Violation, Mobile Phone Violation"
img5.jpg,"Helmet Violation, Mobile Phone Violation"
img5.jpg,"Mobile Phone Violation, Helmet Violation"
img1.jpg,"Mobile Phone Violation, Helmet Violation"
img1.jpg,"Mobile Phone Violation, Helmet Violation"
img3.jpg,Mobile Phone Violation
img2.jpg,Mobile Phone Violation
img1.jpg,"Mobile Phone Violation, Helmet Violation"
img1.jpg,"Mobile Phone Violation, Helmet Violation"
img1.jpg,"Helmet Violation, Mobile Phone Violation"
img1.jpg,"Mobile Phone Violation, Helmet Violation"
